I-A:0
I-B:1
I-C:2
I-D:3
I-E:4
I-F:5
I-G:6
II-A:7
II-B:8
II-C:9
III-A:10
III-B:11
III-C:12
III-D:13
IV-A1:14
IV-A2:15
IV-A3:16
V-A:17
VI-B:18
